Local authority / region code,Local authority / region name,"Oct-19
(25kW and above)","Jan-20
(25kW and above)","Apr-20
(25kW and above)","Jul-20
(25kW and above)","Oct-20
(25kW and above)","Jan-21
(25kW and above)","Apr-21
(25kW and above)","July-21
(25kW and above)","Oct-21
(25kW and above)","Jan-22
(25kW and above)","Apr-22
(25kW and above)","July-22
(25kW and above)","Oct-22
(25kW and above)","Jan-23
(25kW and above)","Apr-23
(25kW and above)","Jul-23
(25kW and above)
[Note 4]","Oct-23
(50kW and above)
[Note 4]","Jan-24
(50kW and above)","Apr-24
(50kW and above)","Jul-24
(50kW and above)","Oct-24 
(50kW and above) [Note 14]",Jan-25 (50kW and above),Apr-25 (50kW and above),Jul-25 (50kW and above)
E06000017,Rutland,0,0,1,1,1,1,3,3,3,3,3,3,3,3,2,2,4,4,4,7,7,7,7,7
E06000062,West Northamptonshire (from April 2021),[x],[x],[x],[x],[x],[x],[x],24,29,31,39,37,50,57,66,56,84,105,102,119,115,105,108,116
E10000007,Derbyshire,12,23,31,34,37,38,51,54,56,59,60,60,61,61,68,73,89,100,103,119,160,170,172,188
E07000032,Amber Valley,1,2,4,4,4,4,4,5,5,5,5,5,5,5,8,8,8,7,8,18,24,29,25,27
E07000033,Bolsover,4,5,5,5,5,5,14,16,16,16,16,16,18,18,18,20,20,20,18,18,18,24,24,33
E07000034,Chesterfield,1,5,5,7,5,5,7,7,7,9,10,10,10,10,12,13,13,26,24,25,59,44,53,52
E07000035,Derbyshire Dales,0,0,2,1,1,1,1,1,1,2,2,2,1,1,1,4,12,12,12,12,12,13,13,17
E07000036,Erewash,3,4,6,6,7,7,9,9,10,10,10,10,10,10,10,10,10,10,13,18,17,26,25,25
E07000037,High Peak,0,1,2,4,8,9,9,10,10,10,10,10,10,10,10,10,16,15,17,17,19,18,19,19
E07000038,North East Derbyshire,0,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,2,2
E07000039,South Derbyshire,3,4,5,5,5,5,5,4,5,5,5,5,5,5,6,5,7,7,8,8,8,13,11,13
E10000018,Leicestershire,10,11,15,16,17,17,21,33,38,45,46,45,47,56,54,61,80,91,113,125,146,143,150,174
E07000129,Blaby,4,4,4,4,5,5,5,13,13,15,13,13,15,20,20,20,25,25,34,34,37,37,43,63
E07000130,Charnwood,2,3,3,4,3,3,4,6,6,7,7,6,6,6,6,7,21,26,27,35,39,38,38,39
E07000131,Harborough,2,2,3,3,3,3,3,3,6,6,6,6,6,6,6,11,10,10,13,13,26,20,20,20
E07000132,Hinckley and Bosworth,0,0,1,1,1,1,1,1,3,3,5,5,5,11,7,5,6,8,13,17,17,18,18,17
E07000133,Melton,0,0,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,4
E07000134,North West Leicestershire,2,2,2,2,2,2,2,3,3,7,8,8,8,7,7,9,9,13,17,17,17,20,21,23
E07000135,Oadby and Wigston,0,0,0,0,1,1,4,5,5,5,5,5,5,5,7,7,7,7,7,7,8,8,8,8
E10000019,Lincolnshire,29,38,40,42,49,52,54,37,58,61,63,71,76,83,97,106,116,138,151,168,176,186,180,200
E07000136,Boston,1,1,1,1,5,5,5,5,5,7,7,7,9,9,12,12,12,13,13,13,19,19,19,31
E07000137,East Lindsey,4,5,5,5,6,6,6,6,6,6,6,7,7,7,8,9,10,11,13,13,11,12,10,16
E07000138,Lincoln,2,3,5,6,6,9,9,10,11,13,13,14,13,13,16,15,13,19,25,35,37,40,39,38
E07000139,North Kesteven,0,0,0,0,0,0,0,0,2,1,1,1,1,4,6,5,6,12,15,16,16,17,17,17
E07000140,South Holland,0,0,0,0,0,0,0,0,0,0,0,1,4,4,8,8,8,10,10,10,10,10,11,11
E07000141,South Kesteven,15,23,23,24,26,26,26,8,26,26,26,31,31,32,33,44,50,52,52,58,60,65,63,65
E07000142,West Lindsey,7,6,6,6,6,6,8,8,8,8,10,10,11,14,14,13,17,21,23,23,23,23,21,22
E10000021,Northamptonshire (abolished April 2021),23,29,30,30,32,33,37,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
E07000150,Corby (abolished April 2021),4,4,4,4,4,4,4,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
E07000151,Daventry (abolished April 2021),6,6,6,6,6,6,6,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
E07000152,East Northamptonshire (abolished April 2021),0,0,0,0,0,0,0,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
E07000153,Kettering (abolished April 2021),2,3,3,3,3,4,8,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
E07000154,Northampton (abolished April 2021),0,1,2,2,2,2,2,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
E07000155,South Northamptonshire (abolished April 2021),9,13,13,13,14,14,14,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
E07000156,Wellingborough (abolished April 2021),2,2,2,2,3,3,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
E10000024,Nottinghamshire,20,35,42,46,46,57,65,76,76,81,92,99,115,110,122,159,174,199,232,254,247,279,266,289
E07000170,Ashfield,1,3,2,2,2,2,4,4,4,4,8,10,10,10,12,13,11,11,11,11,21,22,24,26
E07000171,Bassetlaw,4,8,13,13,12,19,19,19,19,19,20,20,32,28,26,36,38,52,59,70,54,69,64,68
E07000172,Broxtowe,6,6,7,7,7,7,7,8,8,8,10,10,10,11,11,11,12,21,22,27,27,34,35,41
E07000173,Gedling,3,4,5,5,5,5,5,5,5,5,5,5,5,6,8,11,13,13,15,16,16,16,16,16
E07000174,Mansfield,3,8,6,6,7,9,10,11,11,12,12,12,12,12,15,18,20,20,20,25,25,33,33,33
E07000175,Newark and Sherwood,1,4,6,7,7,9,9,11,11,11,11,13,13,12,19,29,31,31,45,45,44,53,43,55
E07000176,Rushcliffe,2,2,3,6,6,6,11,18,18,22,26,29,33,31,31,41,49,51,60,60,60,52,51,50
E12000005,West Midlands,229,258,275,281,321,352,384,427,467,495,531,583,633,660,767,874,963,"1,096","1,224","1,275","1,414","1,462","1,476","1,574"
E06000019,"Herefordshire, County of",5,6,7,7,9,10,10,13,14,15,15,15,13,13,21,21,20,23,22,22,23,18,17,18
E06000051,Shropshire,14,17,17,19,19,21,21,21,23,23,25,26,27,27,26,36,35,38,41,42,46,51,52,65
E06000021,Stoke-on-Trent,5,3,4,4,5,6,8,8,10,10,10,15,19,20,25,31,37,44,44,37,50,40,49,62
E06000020,Telford and Wrekin,2,4,4,5,5,5,5,7,7,7,7,7,10,10,11,13,16,24,40,42,41,33,31,33
E10000028,Staffordshire,42,45,51,52,78,81,83,85,97,105,112,124,137,143,162,188,195,233,246,244,295,305,322,325
E07000192,Cannock Chase,5,7,7,7,7,8,9,9,9,9,11,11,16,17,22,23,26,26,27,26,35,41,53,57
E07000193,East Staffordshire,4,4,5,5,5,6,6,8,8,15,16,17,18,22,22,29,35,35,37,37,47,48,48,43
E07000194,Lichfield,1,1,2,2,3,3,3,3,2,2,4,5,5,5,8,8,12,12,14,14,13,21,19,19
E07000195,Newcastle-under-Lyme,19,19,19,19,20,20,21,22,22,22,22,23,23,25,28,30,30,32,39,31,45,40,48,50
E07000196,South Staffordshire,5,5,8,9,31,31,31,29,31,31,31,30,31,31,32,32,32,47,50,50,67,55,61,65
E07000197,Stafford,7,7,7,7,7,8,8,8,19,20,22,32,38,38,41,51,45,66,64,70,73,75,69,67
E07000198,Staffordshire Moorlands,0,1,1,1,2,2,2,2,2,2,2,2,2,2,3,5,5,5,5,5,4,4,4,4
E07000199,Tamworth,1,1,2,2,3,3,3,4,4,4,4,4,4,3,6,10,10,10,10,11,11,21,20,20
E10000031,Warwickshire,42,43,44,44,48,50,66,91,90,94,100,99,107,107,112,119,138,147,161,184,205,198,210,224
E07000218,North Warwickshire,4,4,4,4,4,4,19,19,19,19,20,20,20,20,20,20,23,23,23,22,22,10,22,22
E07000219,Nuneaton and Bedworth,5,5,5,5,5,6,6,6,6,7,7,8,9,9,10,13,13,14,14,13,18,25,24,25
E07000220,Rugby,0,0,0,0,3,3,3,27,27,27,30,28,28,28,28,32,48,49,58,68,70,73,75,73
E07000221,Stratford-on-Avon,28,28,28,28,29,30,31,31,31,30,31,31,39,39,40,34,37,44,49,62,66,61,59,73
E07000222,Warwick,5,6,7,7,7,7,7,8,7,11,12,12,11,11,14,20,17,17,17,19,29,29,30,31
E11000005,West Midlands (Metropolitan County),73,89,97,99,104,126,137,141,158,173,194,226,246,263,327,375,421,457,500,530,555,615,598,641
E08000025,Birmingham,6,10,12,13,11,27,28,31,44,50,67,82,96,109,125,141,160,164,171,188,197,223,227,223
E08000026,Coventry,30,34,38,39,42,43,46,45,45,49,50,50,51,51,61,71,72,72,77,79,75,93,90,90
E08000027,Dudley,7,9,11,11,11,11,11,11,11,11,13,15,16,18,34,46,49,66,70,69,79,84,79,97
E08000028,Sandwell,3,8,8,8,8,8,11,12,12,12,11,18,20,18,24,26,25,38,44,52,49,67,59,69
E08000029,Solihull,8,8,8,8,8,10,10,11,13,17,17,25,25,26,34,38,57,57,64,65,82,87,86,92
E08000030,Walsall,6,6,6,6,7,8,9,8,9,9,11,12,13,16,19,24,25,25,25,27,24,24,25,37
E08000031,Wolverhampton,13,14,14,14,17,19,22,23,24,25,25,24,25,25,30,29,33,35,49,50,49,37,32,33
E10000034,Worcestershire,46,51,51,51,53,53,54,61,68,68,68,71,74,77,83,91,101,130,170,174,199,202,197,206
E07000234,Bromsgrove,21,22,22,22,22,22,22,30,30,30,30,32,34,34,35,35,37,53,76,76,96,96,96,97
E07000235,Malvern Hills,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,8,8,7,7,7
E07000236,Redditch,2,2,2,2,3,3,3,2,2,2,2,5,5,6,7,7,7,7,7,7,9,8,10,9
E07000237,Worcester,6,6,6,6,7,7,7,7,13,13,13,12,13,13,14,18,20,26,31,33,37,39,30,33
E07000238,Wychavon,10,14,14,14,14,14,14,13,14,13,13,11,11,11,11,15,15,22,25,26,26,31,32,38
E07000239,Wyre Forest,3,3,3,3,3,3,4,5,5,6,6,7,7,9,12,12,18,18,24,24,23,21,22,22
E12000006,East of England,168,185,203,211,263,300,338,371,379,402,439,521,539,567,618,736,757,949,"1,080","1,195","1,426","1,501","1,559","1,730"
E06000055,Bedford,5,6,6,7,17,18,18,19,22,22,23,27,27,26,20,25,33,46,60,61,70,62,62,65
E06000056,Central Bedfordshire,9,8,9,9,10,10,11,11,13,13,12,11,13,13,17,17,19,28,33,57,70,78,99,99
E06000032,Luton,2,3,3,2,3,3,3,3,3,4,4,3,3,4,4,16,7,29,33,33,37,37,37,47
E06000031,Peterborough,9,9,9,11,11,14,15,14,14,14,14,14,14,18,22,26,27,35,35,43,41,48,52,60
E06000033,Southend-on-Sea,1,2,2,2,2,2,3,3,3,3,4,4,5,5,6,13,13,14,14,14,29,22,22,22
E06000034,Thurrock,9,9,10,10,10,10,11,10,11,11,35,46,44,44,44,46,45,61,61,67,66,65,68,68
E10000003,Cambridgeshire,16,16,18,24,32,32,36,50,52,54,52,54,54,57,61,88,87,97,116,142,167,169,160,206
E07000008,Cambridge,6,6,8,8,8,8,8,22,24,24,24,25,25,25,29,35,39,44,49,48,50,48,44,42
E07000009,East Cambridgeshire,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,6,9,6,9,9,6
E07000010,Fenland,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,4,5,5,5
E07000011,Huntingdonshire,3,3,3,8,10,10,14,14,14,15,15,16,16,16,16,31,31,32,41,65,66,55,49,76
E07000012,South Cambridgeshire,5,5,5,6,11,11,11,11,11,12,9,9,9,12,12,18,12,15,17,17,41,52,53,77
E10000012,Essex,34,37,44,43,62,88,96,109,109,117,122,128,139,143,150,171,182,226,236,241,320,335,333,382
E07000066,Basildon,0,0,2,2,5,6,9,10,10,11,11,11,11,11,11,14,13,24,18,18,28,29,31,27
E07000067,Braintree,4,5,5,5,5,23,23,35,35,35,35,35,34,36,35,36,43,43,44,22,63,64,47,47
E07000068,Brentwood,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,9,9,9,15,21,18,18,19,20
E07000069,Castle Point,1,1,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7,13,14
E07000070,Chelmsford,6,6,7,7,8,16,16,16,16,19,21,21,20,20,20,21,22,20,20,22,32,32,38,42
E07000071,Colchester,5,7,8,8,20,19,19,19,19,21,24,25,29,29,29,30,30,43,45,48,47,46,43,47
E07000072,Epping Forest,6,6,6,6,8,8,9,9,9,9,8,10,10,11,19,22,25,26,30,33,32,33,33,54
E07000073,Harlow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,7,7,7,7,7
E07000074,Maldon,1,1,1,1,1,1,1,1,1,1,2,3,3,4,4,4,3,2,4,8,8,8,8,8
E07000075,Rochford,0,0,2,2,2,2,4,4,4,6,6,8,10,10,11,11,11,18,18,15,15,14,15,16
E07000076,Tendring,2,2,3,2,2,2,2,2,2,2,2,2,8,8,8,9,9,10,9,15,15,24,25,45
E07000077,Uttlesford,8,8,8,8,8,8,8,8,8,8,8,8,9,9,8,12,14,22,24,29,52,53,54,55
E10000015,Hertfordshire,34,37,42,43,50,53,55,60,59,58,63,78,80,84,92,119,127,152,192,190,246,294,325,364
E07000095,Broxbourne,1,1,2,2,2,2,2,3,3,3,3,3,3,3,6,6,6,4,4,4,14,13,33,34
E07000096,Dacorum,2,3,4,4,4,4,4,4,4,4,4,4,6,6,6,7,8,21,32,31,44,43,47,50
E07000242,East Hertfordshire,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,14,14,14,14,15,16,17,17,18
E07000098,Hertsmere,15,15,16,16,17,17,17,19,19,19,19,25,27,28,29,26,26,34,41,40,66,94,99,87
E07000099,North Hertfordshire,3,4,4,4,8,8,8,10,10,9,10,15,15,15,18,27,22,21,22,21,21,22,22,22
E07000240,St Albans,5,5,6,6,6,6,6,6,6,6,10,10,12,10,11,11,15,14,14,15,22,23,23,33
E07000243,Stevenage,0,0,0,0,0,1,1,1,1,2,2,2,2,4,3,3,5,6,5,6,14,32,32,48
E07000102,Three Rivers,1,1,2,2,4,4,4,5,5,4,4,4,3,5,6,6,6,5,5,5,5,5,9,10
E07000103,Watford,4,4,4,5,5,7,8,7,7,7,7,7,4,4,4,7,7,8,21,20,13,22,18,38
E07000241,Welwyn Hatfield,3,4,4,4,4,4,5,5,4,4,4,6,6,7,7,12,18,25,34,33,31,23,25,24
E10000020,Norfolk,24,30,31,31,34,33,53,55,56,66,71,109,107,111,124,133,129,151,172,179,195,198,201,206
E07000143,Breckland,7,8,8,8,9,8,16,17,17,23,24,24,24,26,28,29,28,30,30,29,31,31,34,34
E07000144,Broadland,2,3,3,3,5,5,6,6,7,7,7,38,38,39,38,43,44,42,44,44,44,44,44,42
E07000145,Great Yarmouth,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,6,7,11,16,33,28,27,28
E07000146,King's Lynn and West Norfolk,4,5,5,5,5,5,15,15,15,15,15,12,13,13,15,16,17,28,41,40,39,38,40,41
E07000147,North Norfolk,1,2,3,3,3,3,3,3,3,3,3,5,3,5,9,8,6,5,6,6,6,6,6,6
E07000148,Norwich,6,6,6,6,6,6,6,7,7,7,8,14,16,14,15,17,15,25,26,31,30,34,34,39
E07000149,South Norfolk,2,4,4,4,4,4,5,5,5,9,12,14,11,12,16,17,13,14,14,13,12,17,16,16
E10000029,Suffolk,25,28,29,29,32,37,37,37,37,40,39,47,53,62,78,82,88,110,128,168,185,193,200,211
E07000200,Babergh,3,4,4,4,4,4,4,4,4,4,4,4,11,11,18,15,22,21,22,33,33,29,29,29
E07000244,East Suffolk,4,6,7,7,9,10,10,10,10,10,11,10,9,10,18,17,15,30,36,42,55,60,58,66
E07000202,Ipswich,3,3,3,3,3,4,4,4,4,4,3,4,4,4,5,12,9,9,26,30,28,31,33,34
E07000203,Mid Suffolk,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,6,6,8,8,8,8,9,17
E07000245,West Suffolk,14,14,14,14,15,15,15,15,15,18,17,25,25,33,33,34,36,44,36,55,61,65,71,65
E12000007,London,323,385,430,437,465,515,579,615,692,722,736,760,820,854,904,943,987,"1,044","1,145","1,216","1,238","1,341","1,365","1,431"
E13000001,Inner London,134,169,188,193,204,224,256,261,311,323,326,326,330,352,356,365,372,376,396,405,413,419,446,436
E09000007,Camden,4,5,5,5,6,9,14,11,11,11,11,11,14,14,13,12,12,11,12,12,12,12,12,11
E09000001,City of London,1,1,1,1,1,1,1,1,1,1,1,4,4,7,7,7,1,7,7,7,7,7,7,7
E09000012,Hackney,12,12,12,12,15,17,18,18,18,17,17,17,16,16,16,17,22,21,23,23,22,23,21,18
E09000013,Hammersmith and Fulham,12,28,34,34,37,37,41,39,39,46,50,50,49,49,49,51,53,53,57,58,58,57,57,57
E09000014,Haringey,7,11,11,12,11,15,15,15,19,23,23,23,23,26,27,29,29,29,34,34,34,35,37,34
E09000019,Islington,14,18,20,20,21,21,23,23,25,24,23,22,23,25,27,26,26,29,32,29,28,33,34,31
E09000020,Kensington and Chelsea,2,2,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,4,4,3,2,3,3
E09000022,Lambeth,9,15,18,18,18,19,18,19,19,20,20,20,21,21,21,21,22,22,22,22,26,24,31,37
E09000023,Lewisham,7,7,10,12,12,12,17,21,21,21,21,18,18,31,31,35,35,35,35,35,42,42,41,40
E09000025,Newham,5,10,11,13,15,14,14,13,13,14,13,12,12,11,11,12,12,12,13,20,20,19,22,23
E09000028,Southwark,13,12,13,13,14,15,24,23,24,24,24,26,26,26,26,25,27,24,24,24,27,25,28,30
E09000030,Tower Hamlets,11,12,11,11,11,11,12,20,22,20,20,20,20,18,19,16,16,25,26,28,27,29,32,31
E09000032,Wandsworth,15,13,13,13,13,13,14,13,25,25,25,25,28,31,32,34,36,36,36,37,37,40,48,38
E09000033,Westminster,22,23,24,24,25,35,40,40,69,72,73,73,71,72,73,75,76,68,71,72,70,71,73,76
E13000002,Outer London,189,216,242,244,261,291,323,354,381,399,410,434,490,502,548,578,615,668,749,811,825,922,919,995
E09000002,Barking and Dagenham,1,1,2,2,2,5,9,9,9,9,9,9,11,11,15,15,15,13,13,19,19,19,20,19
E09000003,Barnet,21,20,20,20,22,22,22,23,24,25,23,21,28,36,36,47,48,50,62,71,80,86,85,92
E09000004,Bexley,7,8,8,8,8,12,13,13,17,22,22,22,21,21,21,20,29,28,34,34,34,39,54,61
E09000005,Brent,14,14,16,16,16,16,19,19,21,21,19,18,18,19,20,20,20,17,18,16,16,20,20,29
E09000006,Bromley,8,8,10,11,14,14,15,16,17,17,18,18,35,36,41,40,39,39,51,52,56,57,42,49
E09000008,Croydon,18,19,20,20,23,24,23,22,23,27,24,33,45,45,50,46,48,58,58,67,69,71,61,64
E09000009,Ealing,12,29,31,31,31,36,37,37,37,36,35,35,35,36,44,43,45,44,45,55,55,61,64,62
E09000010,Enfield,7,12,14,14,14,15,16,20,21,21,24,25,25,25,27,25,40,41,43,50,51,51,50,70
E09000011,Greenwich,15,15,28,28,30,31,32,32,48,50,52,58,57,56,57,58,58,56,57,59,59,66,64,64
E09000015,Harrow,4,4,4,5,4,5,8,8,8,8,8,8,8,10,11,12,14,14,16,19,20,28,28,34
E09000016,Havering,6,6,6,6,7,9,14,14,14,14,13,13,25,25,36,37,41,38,40,50,51,53,57,58
E09000017,Hillingdon,26,29,29,29,28,28,32,43,43,43,42,41,41,41,47,65,67,71,79,78,76,83,82,84
E09000018,Hounslow,16,16,17,17,19,20,20,23,24,24,26,34,36,36,36,38,38,71,96,97,95,99,100,97
E09000021,Kingston upon Thames,2,2,2,2,4,8,8,8,8,8,16,16,16,16,16,19,18,21,19,19,21,43,44,45
E09000024,Merton,6,6,6,6,7,10,13,17,17,17,17,17,17,17,18,18,17,17,17,17,17,22,21,23
E09000026,Redbridge,14,15,16,16,16,18,18,24,24,28,28,27,32,32,30,30,31,31,31,32,31,36,38,37
E09000027,Richmond upon Thames,5,5,5,5,6,7,7,8,8,8,8,8,9,9,11,11,13,19,19,20,18,22,25,26
